Eyetracker Status	4	79.32	2.783447	2.733353	1448847942148252
Eyetracker Status	5	99.15	2.784073	2.737595	1448847942181533
Eyetracker Status	6	118.98	2.793777	2.737549	1448847942214879
选项卡行	4	79.32	2.728043	2.703629	1448847942748137
选项卡行	5	99.15	2.729416	2.716782	1448847942781492
选项卡行	6	118.98	2.719498	2.698914	1448847942814861
选项卡行	7	138.81	2.727829	2.702332	1448847942848112
选项卡行	8	158.64	2.736542	2.725113	1448847942881490
选项卡行	9	178.47	2.751755	2.751953	1448847942914750
选项卡行	10	198.3	2.76384	2.754013	1448847942948120
最大化	11	218.13	2.771729	2.775177	1448847942981490
最大化	12	237.96	2.78508	2.778717	1448847943014747
最大化	13	257.79	2.811142	2.791687	1448847943048114
最大化	14	277.62	2.824707	2.807663	1448847943081487
最大化	15	297.45	2.874329	2.845291	1448847943114750
March	4	79.32	2.909821	2.86554	1448847943481367
March	5	99.15	2.920029	2.876251	1448847943514723
	6	118.98	2.912704	2.889877	1448847943548020
	7	138.81	2.909866	2.89592	1448847943581367
	8	158.64	2.914474	2.859283	1448847943614733
	9	178.47	2.909424	2.86145	1448847943648008
	10	198.3	2.886536	2.843658	1448847943681364
(/ˈaɪnstaɪn/;[3]	4	79.32	2.68161	2.700302	1448847943914626
(/ˈaɪnstaɪn/;[3]	5	99.15	2.658875	2.687729	1448847943947982
范围	4	79.32	2.62352	2.627914	1448847944274626
范围	5	99.15	2.63797	2.622253	1448847944307919
范围	6	118.98	2.645782	2.648361	1448847944341254
范围	7	138.81	2.648056	2.639069	1448847944374622
血糖高   了   怎么办    	4	79.32	2.534592	2.560455	1448847944574616
血糖高   了   怎么办    	5	99.15	2.525116	2.52388	1448847944607878
	4	79.32	2.474167	2.463913	1448847944774527
	4	79.32	2.448914	2.468475	1448847944941133
	5	99.15	2.43898	2.444092	1448847944974498
	6	118.98	2.437668	2.451172	1448847945007867
	7	138.81	2.452377	2.466629	1448847945041129
血糖高   了   怎么办    	4	79.32	2.509811	2.522141	1448847945241122
血糖高   了   怎么办    	5	99.15	2.516891	2.5112	1448847945274492
血糖高   了   怎么办    	6	118.98	2.521484	2.521942	1448847945307746
血糖高   了   怎么办    	7	138.81	2.52623	2.516418	1448847945341121
血糖高   了   怎么办    	8	158.64	2.529633	2.523239	1448847945374476
血糖高   了   怎么办    	9	178.47	2.529373	2.535675	1448847945407760
	4	79.32	2.568466	2.527206	1448847945607743
	5	99.15	2.554596	2.527222	1448847945641113
	6	118.98	2.555099	2.527359	1448847945674381
	7	138.81	2.574356	2.550003	1448847945707742
	4	79.32	2.577957	2.583038	1448847945874365
	5	99.15	2.619766	2.59935	1448847945907735
是	6	118.98	2.621216	2.598007	1448847945941005
是	7	138.81	2.618118	2.617523	1448847945974365
三高	4	79.32	2.655228	2.62326	1448847946174357
三高	5	99.15	2.660156	2.636993	1448847946207638
另外	4	79.32	2.649582	2.634232	1448847946407615
另外	5	99.15	2.637192	2.641418	1448847946440982
另外	6	118.98	2.635834	2.636276	1448847946474234
另外	7	138.81	2.635147	2.622452	1448847946507608
另外	8	158.64	2.632614	2.637848	1448847946540979
另外	9	178.47	2.612106	2.632599	1448847946574256
另外	10	198.3	2.615616	2.630295	1448847946607605
分别	4	79.32	2.596512	2.601471	1448847946774228
分别	5	99.15	2.595169	2.609299	1448847946807601
分别	6	118.98	2.602203	2.618027	1448847946840883
分别	7	138.81	2.603073	2.603546	1448847946874229
分别	8	158.64	2.613602	2.616089	1448847946907597
分别	9	178.47	2.607986	2.623703	1448847946940875
分别	10	198.3	2.621704	2.623581	1448847946974223
分别	11	218.13	2.641464	2.643494	1448847947007581
